Lots Pending Release,,,,,,,,,,Total Vials Pending Release,,
Skus ,Lot,BUD,Qnty,Date Inspection,Date AQL,Date Label,Date Testing Return,Date Final Plate Check,,Sku,Total,
Tirzepatide 27mg/mL,PRORX02112026@2,02/11/2027,50,,,Tirzepatide 72mg/4mL ,PRORX12302025@2,30-Dec-2025,2700,Low Phenol Potency,Reprocess,11-Mar-2026
Tirzepatide 36mg/2mL ,,,,,,,,,,,,
Tirzepatide 45mg/2.5mL,PRORX02102026@4,02/10/2027,3,,,,,,,,,
Tirzepatide 54mg/3mL ,PRORX02272026@4,02/27/2027,210,,,,,,,,,
Tirzepatide 72mg/4mL ,"PRORX02192026@4, PRORX02202026@2","02/19/2027, 02/20/2027",5484,,,,Total Vials on Schedule,,,,,
Tirzepatide 9mg/mL,,,,,,,Sku,Qnty,,,,
Tri-Mix 1,,,,,,,Cyanocobalamin 10mg/10mL,,,,,
Tri-Mix 2,,,,,,,Glutathione 2000mg/10mL ,,,,,
,,,,,,,Glutathione 6000mg/30mL,,,,,
,,,,,,,Gonadorelin 10mg/5mL,,,,,
,Days on Schedule,7,,,,,Gonadorelin 2mg,,,,,
,Batches on Schedule,25,,,,,Gonadorelin 6mg/6mL,,,,,
,Vials on Schedule,67500,,,,,MIC,,,,,
,,,,,,,NAD Sublingual,,,,,
,,,,,,,NAD+ 1000mg/10mL,,,,,
Skus on Schedule,,,,,,,NAD+ 1200mg/6mL ,,,,,
Skus,Date,Qnty,Skus,Date,Qnty,,NAD+ 500mg/2.5mL,,,,,
Tirzepatide 27mg/3mL (colonar),09-Mar-2026,2700,Tirzepatide 27mg/3mL (colonar),12-Mar-2026,2700,,Phenylephrine 2mg/2mL,,,,,
Tirzepatide 36mg/2mL,09-Mar-2026,2700,Tirzepatide 36mg/2mL,12-Mar-2026,2700,,Semaglutide 2.25/2.5ml,,,,,
Tirzepatide 36mg/2mL,09-Mar-2026,2700,Tirzepatide 36mg/2mL,12-Mar-2026,2700,,Semaglutide 4.5mg/2mL,,,,,
Tirzepatide 72mg/4mL,09-Mar-2026,2700,Tirzepatide 72mg/4mL,12-Mar-2026,2700,,Semaglutide 4.5mg/5mL,,,,,
Tirzepatide 72mg/4mL,09-Mar-2026,2700,Tirzepatide 72mg/4mL,12-Mar-2026,2700,,Semaglutide 6.75mg/1.5mL,,,,,
Tirzepatide 27mg/3mL (colonar),10-Mar-2026,2700,Semaglutide 9mg/2mL,13-Mar-2026,2700,,Semaglutide 9mg/2mL,5400,,,,
Tirzepatide 45mg/2.5mL,10-Mar-2026,2700,Tirzepatide 18mg/4mL,13-Mar-2026,2700,,Semaglutide12.5mg/5mL ,,,,,
Tirzepatide 45mg/2.5mL,10-Mar-2026,2700,Tirzepatide 18mg/4mL,13-Mar-2026,2700,,Sermorelin 15mg/6mL ,,,,,
Tirzepatide 72mg/4mL,10-Mar-2026,2700,Tirzepatide 72mg/4mL,13-Mar-2026,2700,,Sermorelin 8mg/3.2mL ,,,,,
